path,Finding labels,File name
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_1_Final.png,Mass,Mass_1_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_2_Final.png,Mass,Mass_2_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_3_Final.png,Mass,Mass_3_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_4_Final.png,Mass,Mass_4_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_5_Final.png,Mass,Mass_5_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_6_Final.png,Mass,Mass_6_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_7_Final.png,Mass,Mass_7_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_8_Final.png,Mass,Mass_8_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_9_Final.png,Mass,Mass_9_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_10_Final.png,Mass,Mass_10_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_11_Final.png,Mass,Mass_11_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_12_Final.png,Mass,Mass_12_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_13_Final.png,Mass,Mass_13_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_14_Final.png,Mass,Mass_14_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_15_Final.png,Mass,Mass_15_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_16_Final.png,Mass,Mass_16_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_17_Final.png,Mass,Mass_17_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_18_Final.png,Mass,Mass_18_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_19_Final.png,Mass,Mass_19_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Mass/Mass_20_Final.png,Mass,Mass_20_Final.png
/content/drive/MyDrive/CS 518 Project /Final Augmented Images/Pneumothorax/Pneumothorax_1_Final.png,Pneumothorax,Pneumothorax_1_Final.png
